rank,name,pos,team,composite_half_ppr,ppg_half_ppr,games,production_score_half_ppr,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
1,Josh Allen,QB,BUF,76.52,22.04,17,100.0,79.8,84.4,100.0,0.4919,100.0,112.0,0,1033.0
2,Jonathan Taylor,RB,IND,74.12,19.96,17,92.5,85.1,90.6,57.2,0.4758,55.5,369.0,55.0,849.0
3,Matthew Stafford,QB,LAR,73.55,21.08,17,95.5,85.9,68.8,81.4,0.5339,100.0,29.0,0,1045.0
4,Drake Maye,QB,NE,72.4,21.14,17,95.8,79.4,62.5,81.9,0.479,100.0,104.0,1.0,1005.0
5,Puka Nacua,WR,LAR,72.17,19.41,16,100.0,52.6,68.8,81.4,0.5339,68.8,139.0,166.0,675.0
6,Christian McCaffrey,RB,SF,71.91,21.51,17,100.0,87.6,71.9,79.3,0.4694,40.0,413.0,129.0,932.0
7,Caleb Williams,QB,CHI,71.91,19.07,17,86.0,93.5,87.5,65.4,0.5306,100.0,79.0,2.0,1088.0
8,Justin Herbert,QB,LAC,71.05,18.74,16,84.4,98.5,81.2,62.8,0.5113,100.0,83.0,0,1043.0
9,Bo Nix,QB,DEN,70.58,18.58,17,83.7,78.2,100.0,61.5,0.4823,100.0,83.0,1.0,1077.0
10,Trey McBride,TE,ARI,70.2,14.88,17,100.0,89.3,34.4,57.8,0.55,40.0,126.0,169.0,981.0
11,James Cook,RB,BUF,69.57,16.81,17,77.3,70.5,84.4,100.0,0.4919,69.0,342.0,40.0,637.0
12,Brock Purdy,QB,SF,69.06,20.82,9,94.2,43.9,71.9,79.3,0.4694,100.0,33.0,0,576.0
13,Jalen Hurts,QB,PHI,68.94,17.94,17,80.6,78.9,96.9,65.4,0.4726,100.0,105.0,0,965.0
14,Bijan Robinson,RB,ATL,68.61,19.49,17,90.2,84.1,75.0,22.6,0.5081,57.0,366.0,103.0,807.0
15,Travis Kelce,TE,KC,68.09,9.13,17,59.2,91.1,78.1,82.0,0.4855,88.0,77.0,108.0,851.0
16,Patrick Mahomes,QB,KC,67.57,17.42,17,78.2,94.7,78.1,82.0,0.4855,100.0,65.0,1.0,934.0
17,Dak Prescott,QB,DAL,67.18,19.05,17,85.9,84.2,50.0,65.2,0.5371,100.0,53.0,0,1107.0
18,Baker Mayfield,QB,TB,67.07,16.64,17,74.5,90.6,93.8,46.1,0.5274,100.0,55.0,0,1099.0
19,Saquon Barkley,RB,PHI,66.36,12.58,17,56.8,72.0,96.9,65.4,0.4726,81.5,317.0,50.0,773.0
20,Trevor Lawrence,QB,JAX,66.29,20.6,17,93.2,83.1,9.4,77.6,0.5048,100.0,82.0,0,1064.0
21,D'Andre Swift,RB,CHI,66.17,13.22,16,59.9,61.9,87.5,65.4,0.5306,100.0,257.0,48.0,589.0
22,Jahmyr Gibbs,RB,DET,65.95,19.32,17,89.4,77.5,43.8,56.5,0.45,80.0,320.0,94.0,685.0
23,Dallas Goedert,TE,PHI,65.28,10.34,15,67.8,67.9,96.9,65.4,0.4726,100.0,60.0,82.0,787.0
24,Jared Goff,QB,DET,65.13,17.94,17,80.6,93.9,43.8,56.5,0.45,100.0,19.0,0,1010.0
25,George Pickens,WR,DAL,64.87,14.44,17,73.3,68.1,50.0,65.2,0.5371,100.0,93.0,137.0,943.0
26,Davante Adams,WR,LAR,64.07,13.78,14,69.7,49.5,68.8,81.4,0.5339,100.0,60.0,114.0,635.0
27,De'Von Achane,RB,MIA,63.97,18.08,16,83.4,100.0,25.0,15.5,0.5468,87.5,305.0,85.0,697.0
28,Kyren Williams,RB,LAR,63.79,14.43,17,65.7,61.6,68.8,81.4,0.5339,92.5,295.0,50.0,725.0
29,Hunter Henry,TE,NE,63.27,8.75,17,56.5,69.7,62.5,81.9,0.479,100.0,60.0,87.0,835.0
30,Amon-Ra St. Brown,WR,DET,62.91,15.62,17,79.6,76.8,43.8,56.5,0.45,61.6,120.0,172.0,870.0
31,DJ Moore,WR,BUF,62.49,8.54,17,41.6,68.3,84.4,100.0,0.4919,100.0,65.0,85.0,932.0
32,Bucky Irving,RB,TB,62.19,12.35,10,55.7,46.8,93.8,46.1,0.5274,100.0,203.0,35.0,421.0
33,A.J. Brown,WR,NE,62.0,11.33,16,56.6,63.2,62.5,81.9,0.479,100.0,78.0,121.0,843.0
34,Kenneth Walker,RB,KC,61.85,10.38,17,46.2,66.1,78.1,82.0,0.4855,100.0,252.0,36.0,498.0
35,Derrick Henry,RB,BAL,60.84,16.0,17,73.3,94.3,28.1,49.5,0.4629,79.0,322.0,21.0,519.0
36,Tyler Warren,TE,IND,60.82,8.85,17,57.2,82.9,90.6,57.2,0.4758,82.0,82.0,112.0,846.0
37,RJ Harvey,RB,DEN,59.82,10.77,17,48.0,36.5,100.0,61.5,0.4823,100.0,193.0,58.0,448.0
38,Jaxon Smith-Njigba,WR,SEA,59.81,17.67,17,90.6,59.6,56.2,30.4,0.521,72.4,126.0,163.0,829.0
39,Kenny Gainwell,RB,TB,59.4,10.93,17,48.8,43.2,93.8,46.1,0.5274,100.0,187.0,85.0,467.0
40,Lamar Jackson,QB,BAL,59.15,17.07,13,76.5,68.2,28.1,49.5,0.4629,100.0,67.0,0,651.0
41,Dalton Kincaid,TE,BUF,59.12,8.88,12,57.4,23.8,84.4,100.0,0.4919,100.0,39.0,49.0,292.0
42,Jameson Williams,WR,DET,59.05,11.02,17,54.9,81.5,43.8,56.5,0.45,100.0,71.0,102.0,923.0
43,Courtland Sutton,WR,DEN,58.84,10.75,17,53.4,64.0,100.0,61.5,0.4823,100.0,74.0,124.0,929.0
44,Aaron Rodgers,QB,PIT,58.82,14.6,16,64.9,85.7,59.4,29.8,0.5016,100.0,22.0,1.0,843.0
45,Daniel Jones,QB,IND,58.62,13.79,17,61.0,70.1,90.6,57.2,0.4758,100.0,45.0,0,756.0
46,Colston Loveland,TE,CHI,58.51,8.51,16,54.8,59.1,87.5,65.4,0.5306,100.0,59.0,82.0,651.0
47,Javonte Williams,RB,DAL,58.49,13.25,17,60.0,63.5,50.0,65.2,0.5371,96.5,287.0,51.0,769.0
48,Zay Flowers,WR,BAL,58.46,11.78,17,59.0,82.3,28.1,49.5,0.4629,100.0,96.0,118.0,828.0
49,Chase Brown,RB,CIN,58.4,14.59,17,66.5,71.2,40.6,52.4,0.4532,89.5,301.0,88.0,700.0
50,Ja'Marr Chase,WR,CIN,58.36,14.77,17,75.1,74.6,40.6,52.4,0.4532,46.0,128.0,185.0,919.0
51,DeVonta Smith,WR,PHI,58.17,9.61,17,47.3,68.2,96.9,65.4,0.4726,100.0,77.0,113.0,879.0
52,Alec Pierce,WR,IND,58.07,10.65,15,52.9,67.7,90.6,57.2,0.4758,100.0,47.0,84.0,769.0
53,Chris Olave,WR,NO,57.86,13.69,16,69.2,70.2,53.1,44.1,0.4565,80.8,101.0,156.0,887.0
54,Sam Darnold,QB,SEA,57.84,14.67,17,65.2,77.8,56.2,30.4,0.521,100.0,35.0,0,1026.0
55,Jaxson Dart,QB,NYG,57.78,16.44,15,73.6,64.4,31.2,53.8,0.5145,100.0,86.0,0,699.0
56,Rico Dowdle,RB,PIT,57.16,11.58,17,52.0,65.7,59.4,29.8,0.5016,100.0,275.0,50.0,591.0
57,George Kittle,TE,SF,57.08,8.31,16,53.3,44.6,71.9,79.3,0.4694,100.0,58.0,69.0,554.0
58,Jaylen Warren,RB,PIT,57.07,12.32,16,55.5,60.0,59.4,29.8,0.5016,100.0,251.0,45.0,461.0
59,Jake Ferguson,TE,DAL,56.92,8.65,17,55.8,60.5,50.0,65.2,0.5371,97.0,83.0,102.0,753.0
60,Jordan Love,QB,GB,56.86,15.07,16,67.1,100.0,15.6,41.6,0.5242,100.0,47.0,0,894.0
61,Ashton Jeanty,RB,LV,56.82,12.8,17,57.9,90.5,46.9,0.0,0.4887,79.5,321.0,73.0,711.0
62,Travis Etienne,RB,NO,56.74,13.88,17,63.1,55.7,53.1,44.1,0.4565,92.0,296.0,52.0,657.0
63,Ladd McConkey,WR,LAC,56.53,8.7,17,42.4,75.1,81.2,62.8,0.5113,100.0,66.0,106.0,838.0
64,Khalil Shakir,WR,BUF,56.48,7.67,17,36.9,46.5,84.4,100.0,0.4919,100.0,73.0,95.0,635.0
65,Quentin Johnston,WR,LAC,56.36,9.71,15,47.8,64.8,81.2,62.8,0.5113,100.0,53.0,85.0,723.0
66,CeeDee Lamb,WR,DAL,56.23,11.67,14,58.4,51.0,50.0,65.2,0.5371,100.0,76.0,117.0,707.0
