rank,name,pos,team,composite_std,ppg_std,games,production_score_std,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
1,Jonathan Taylor,RB,IND,76.71,18.61,17,100.0,86.8,90.6,57.2,0.4758,55.5,369.0,55.0,849.0
2,Josh Allen,QB,BUF,75.99,22.04,17,100.0,74.5,84.4,100.0,0.4919,100.0,112.0,0,1033.0
3,Matthew Stafford,QB,LAR,73.31,21.08,17,95.5,83.5,68.8,81.4,0.5339,100.0,29.0,0,1045.0
4,Puka Nacua,WR,LAR,73.13,15.37,16,100.0,57.4,68.8,81.4,0.5339,68.8,139.0,166.0,675.0
5,Christian McCaffrey,RB,SF,72.45,18.51,17,99.4,91.2,71.9,79.3,0.4694,40.0,413.0,129.0,932.0
6,Drake Maye,QB,NE,72.13,21.12,17,95.7,77.2,62.5,81.9,0.479,100.0,104.0,1.0,1005.0
7,Trey McBride,TE,ARI,71.64,11.17,17,100.0,96.5,34.4,57.8,0.55,40.0,126.0,169.0,981.0
8,James Cook,RB,BUF,71.44,15.84,17,84.6,68.9,84.4,100.0,0.4919,69.0,342.0,40.0,637.0
9,Caleb Williams,QB,CHI,71.31,19.01,17,85.7,88.9,87.5,65.4,0.5306,100.0,79.0,2.0,1088.0
10,Justin Herbert,QB,LAC,70.73,18.74,16,84.4,95.3,81.2,62.8,0.5113,100.0,83.0,0,1043.0
11,Bo Nix,QB,DEN,70.52,18.58,17,83.7,77.6,100.0,61.5,0.4823,100.0,83.0,1.0,1077.0
12,Travis Kelce,TE,KC,69.83,6.89,17,60.0,98.4,78.1,82.0,0.4855,88.0,77.0,108.0,851.0
13,Dallas Goedert,TE,PHI,69.71,8.34,15,73.6,79.9,96.9,65.4,0.4726,100.0,60.0,82.0,787.0
14,Bijan Robinson,RB,ATL,69.49,17.16,17,92.0,85.8,75.0,22.6,0.5081,57.0,366.0,103.0,807.0
15,Jalen Hurts,QB,PHI,69.33,17.94,17,80.6,82.8,96.9,65.4,0.4726,100.0,105.0,0,965.0
16,Brock Purdy,QB,SF,68.96,20.82,9,94.2,42.9,71.9,79.3,0.4694,100.0,33.0,0,576.0
17,Saquon Barkley,RB,PHI,67.37,11.49,17,60.5,71.5,96.9,65.4,0.4726,81.5,317.0,50.0,773.0
18,Patrick Mahomes,QB,KC,67.13,17.39,17,78.0,91.2,78.1,82.0,0.4855,100.0,65.0,1.0,934.0
19,Dak Prescott,QB,DAL,66.95,19.05,17,85.9,81.9,50.0,65.2,0.5371,100.0,53.0,0,1107.0
20,Baker Mayfield,QB,TB,66.88,16.64,17,74.5,88.7,93.8,46.1,0.5274,100.0,55.0,0,1099.0
21,D'Andre Swift,RB,CHI,66.88,12.16,16,64.2,59.0,87.5,65.4,0.5306,100.0,257.0,48.0,589.0
22,George Pickens,WR,DAL,66.79,11.7,17,75.3,74.2,50.0,65.2,0.5371,100.0,93.0,137.0,943.0
23,Davante Adams,WR,LAR,66.75,11.64,14,74.8,54.0,68.8,81.4,0.5339,100.0,60.0,114.0,635.0
24,Jahmyr Gibbs,RB,DET,66.63,17.05,17,91.4,77.9,43.8,56.5,0.45,80.0,320.0,94.0,685.0
25,Trevor Lawrence,QB,JAX,66.1,20.6,17,93.2,81.2,9.4,77.6,0.5048,100.0,82.0,0,1064.0
26,Hunter Henry,TE,NE,66.08,6.99,17,61.0,75.9,62.5,81.9,0.479,100.0,60.0,87.0,835.0
27,Kyren Williams,RB,LAR,65.62,13.37,17,71.0,62.8,68.8,81.4,0.5339,92.5,295.0,50.0,725.0
28,Jared Goff,QB,DET,64.6,17.94,17,80.6,88.6,43.8,56.5,0.45,100.0,19.0,0,1010.0
29,De'Von Achane,RB,MIA,64.6,15.99,16,85.5,100.0,25.0,15.5,0.5468,87.5,305.0,85.0,697.0
30,DJ Moore,WR,BUF,63.97,7.07,17,44.0,71.5,84.4,100.0,0.4919,100.0,65.0,85.0,932.0
31,Derrick Henry,RB,BAL,63.56,15.56,17,83.1,93.2,28.1,49.5,0.4629,79.0,322.0,21.0,519.0
32,Amon-Ra St. Brown,WR,DET,63.41,12.18,17,78.5,81.2,43.8,56.5,0.45,61.6,120.0,172.0,870.0
33,A.J. Brown,WR,NE,63.02,8.89,16,56.3,68.8,62.5,81.9,0.479,100.0,78.0,121.0,843.0
34,Kenneth Walker,RB,KC,62.82,9.46,17,49.3,66.3,78.1,82.0,0.4855,100.0,252.0,36.0,498.0
35,Bucky Irving,RB,TB,62.78,10.85,10,57.0,47.8,93.8,46.1,0.5274,100.0,203.0,35.0,421.0
36,Tyler Warren,TE,IND,62.4,6.62,17,57.5,90.3,90.6,57.2,0.4758,82.0,82.0,112.0,846.0
37,Dalton Kincaid,TE,BUF,61.47,7.26,12,63.5,24.9,84.4,100.0,0.4919,100.0,39.0,49.0,292.0
38,Jaxon Smith-Njigba,WR,SEA,61.39,14.17,17,91.9,65.2,56.2,30.4,0.521,72.4,126.0,163.0,829.0
39,Jameson Williams,WR,DET,60.98,9.11,17,57.8,86.1,43.8,56.5,0.45,100.0,71.0,102.0,923.0
40,Alec Pierce,WR,IND,60.97,9.09,15,57.7,73.8,90.6,57.2,0.4758,100.0,47.0,84.0,769.0
41,RJ Harvey,RB,DEN,60.53,9.39,17,48.9,38.7,100.0,61.5,0.4823,100.0,193.0,58.0,448.0
42,Courtland Sutton,WR,DEN,60.5,8.57,17,54.1,71.1,100.0,61.5,0.4823,100.0,74.0,124.0,929.0
43,Colston Loveland,TE,CHI,60.48,6.69,16,58.2,63.0,87.5,65.4,0.5306,100.0,59.0,82.0,651.0
44,DeVonta Smith,WR,PHI,60.08,7.34,17,45.9,80.2,96.9,65.4,0.4726,100.0,77.0,113.0,879.0
45,Javonte Williams,RB,DAL,59.51,12.22,17,64.6,61.7,50.0,65.2,0.5371,96.5,287.0,51.0,769.0
46,George Kittle,TE,SF,59.13,6.53,16,56.7,48.9,71.9,79.3,0.4694,100.0,58.0,69.0,554.0
47,Zay Flowers,WR,BAL,58.8,9.25,17,58.7,84.5,28.1,49.5,0.4629,100.0,96.0,118.0,828.0
48,Lamar Jackson,QB,BAL,58.57,17.07,13,76.5,62.4,28.1,49.5,0.4629,100.0,67.0,0,651.0
49,Kenny Gainwell,RB,TB,58.57,8.78,17,45.5,44.0,93.8,46.1,0.5274,100.0,187.0,85.0,467.0
50,Chase Brown,RB,CIN,58.52,12.56,17,66.5,71.8,40.6,52.4,0.4532,89.5,301.0,88.0,700.0
51,Aaron Rodgers,QB,PIT,58.49,14.57,16,64.7,83.3,59.4,29.8,0.5016,100.0,22.0,1.0,843.0
52,Travis Etienne,RB,NO,58.48,12.82,17,67.9,57.2,53.1,44.1,0.4565,92.0,296.0,52.0,657.0
53,Daniel Jones,QB,IND,58.43,13.79,17,61.0,68.2,90.6,57.2,0.4758,100.0,45.0,0,756.0
54,Quentin Johnston,WR,LAC,58.35,8.01,15,50.4,70.2,81.2,62.8,0.5113,100.0,53.0,85.0,723.0
55,Chris Olave,WR,NO,58.34,10.56,16,67.6,75.4,53.1,44.1,0.4565,80.8,101.0,156.0,887.0
56,Ja'Marr Chase,WR,CIN,58.24,11.09,17,71.1,81.0,40.6,52.4,0.4532,46.0,128.0,185.0,919.0
57,Rico Dowdle,RB,PIT,58.23,10.43,17,54.7,67.0,59.4,29.8,0.5016,100.0,275.0,50.0,591.0
58,Jaylen Warren,RB,PIT,58.1,11.07,16,58.2,61.1,59.4,29.8,0.5016,100.0,251.0,45.0,461.0
59,Tee Higgins,WR,CIN,57.79,10.17,15,64.9,62.6,40.6,52.4,0.4532,100.0,59.0,98.0,710.0
60,Colby Parkinson,TE,LAR,57.76,5.79,15,49.8,52.8,68.8,81.4,0.5339,100.0,43.0,56.0,558.0
61,Sam Darnold,QB,SEA,57.65,14.67,17,65.2,75.9,56.2,30.4,0.521,100.0,35.0,0,1026.0
62,Ladd McConkey,WR,LAC,57.62,6.76,17,41.9,81.4,81.2,62.8,0.5113,100.0,66.0,106.0,838.0
63,Rome Odunze,WR,CHI,57.5,7.85,13,49.3,63.7,87.5,65.4,0.5306,100.0,44.0,90.0,733.0
64,Josh Jacobs,RB,GB,57.45,13.41,15,71.2,79.2,15.6,41.6,0.5242,100.0,270.0,44.0,554.0
65,Jake Ferguson,TE,DAL,57.37,6.24,17,54.0,65.9,50.0,65.2,0.5371,97.0,83.0,102.0,753.0
66,Jaxson Dart,QB,NYG,57.36,16.44,15,73.6,60.2,31.2,53.8,0.5145,100.0,86.0,0,699.0
67,Michael Wilson,WR,ARI,57.27,8.39,17,52.9,77.1,34.4,57.8,0.55,100.0,78.0,126.0,872.0
68,TreVeyon Henderson,RB,NE,57.01,10.07,17,52.7,47.8,62.5,81.9,0.479,100.0,215.0,42.0,477.0
69,Ashton Jeanty,RB,LV,56.93,11.18,17,58.8,89.7,46.9,0.0,0.4887,79.5,321.0,73.0,711.0
70,Jordan Love,QB,GB,56.86,15.07,16,67.1,100.0,15.6,41.6,0.5242,100.0,47.0,0,894.0
71,Dawson Knox,TE,BUF,56.86,3.98,17,32.9,55.4,84.4,100.0,0.4919,100.0,36.0,49.0,649.0
72,Theo Johnson,TE,NYG,56.67,5.52,15,47.2,88.9,31.2,53.8,0.5145,100.0,45.0,74.0,872.0
73,CeeDee Lamb,WR,DAL,56.66,8.99,14,57.0,55.6,50.0,65.2,0.5371,100.0,76.0,117.0,707.0
74,Breece Hall,RB,NYJ,56.38,10.73,16,56.3,81.0,37.5,14.9,0.4597,100.0,279.0,48.0,640.0
75,Jaylen Waddle,WR,DEN,56.35,8.13,16,51.2,55.4,100.0,61.5,0.4823,100.0,66.0,100.0,724.0
76,Emeka Egbuka,WR,TB,56.33,7.81,17,49.0,76.1,93.8,46.1,0.5274,100.0,65.0,127.0,886.0
77,Romeo Doubs,WR,NE,56.33,6.49,17,40.1,63.7,62.5,81.9,0.479,100.0,55.0,85.0,780.0
78,Kyle Monangai,RB,CHI,56.04,7.57,17,38.8,42.9,87.5,65.4,0.5306,100.0,187.0,30.0,455.0
79,Oronde Gadsden,TE,LAC,56.0,5.49,15,47.0,64.4,81.2,62.8,0.5113,100.0,49.0,69.0,595.0
80,Deebo Samuel,WR,SF,55.88,7.26,16,45.3,52.6,71.9,79.3,0.4694,100.0,89.0,99.0,664.0
81,Khalil Shakir,WR,BUF,55.84,5.55,17,33.8,48.7,84.4,100.0,0.4919,100.0,73.0,95.0,635.0
82,Rhamondre Stevenson,RB,NE,55.34,10.49,14,55.0,36.0,62.5,81.9,0.479,100.0,162.0,37.0,505.0
83,Jauan Jennings,WR,MIN,54.95,7.89,15,49.6,79.1,65.6,42.2,0.4952,100.0,55.0,90.0,795.0
84,Juwan Johnson,TE,NO,54.61,6.05,17,52.2,75.6,53.1,44.1,0.4565,97.0,77.0,102.0,799.0
85,Justin Jefferson,WR,MIN,54.4,6.91,17,43.0,88.5,65.6,42.2,0.4952,98.8,86.0,141.0,890.0
86,Cade Otton,TE,TB,54.35,3.95,16,32.6,94.9,93.8,46.1,0.5274,100.0,59.0,81.0,993.0
87,Kyle Pitts,TE,ATL,54.13,7.22,17,63.1,82.1,75.0,22.6,0.5081,73.0,88.0,118.0,903.0
88,Drake London,WR,ATL,54.0,11.16,12,71.6,53.1,75.0,22.6,0.5081,100.0,68.0,112.0,650.0
