# Literal 0.55(hardest) -> 0.45(easiest) scale, as specified --
# NOTE: this is a narrower range and OPPOSITE direction from this repo's
# usual 0-100/higher=easier convention (see oline_score_for_team()).
# On this scale the SOS component will barely move the composite score.
team,sos_score
ARI,0.55
MIA,0.5468
CAR,0.5435
WAS,0.5403
DAL,0.5371
LAR,0.5339
CHI,0.5306
TB,0.5274
GB,0.5242
SEA,0.521
HOU,0.5177
NYG,0.5145
LAC,0.5113
ATL,0.5081
JAX,0.5048
PIT,0.5016
TEN,0.4984
MIN,0.4952
BUF,0.4919
LV,0.4887
KC,0.4855
DEN,0.4823
NE,0.479
IND,0.4758
PHI,0.4726
SF,0.4694
CLE,0.4661
BAL,0.4629
NYJ,0.4597
NO,0.4565
CIN,0.4532
DET,0.45
